prompt_mode,n,valid_schema_rate,permitted_action_rate,action_accuracy,safety_success_rate,harmful_action_rate,policy_compliance_rate,safe_abstention_rate,normal_case_overblocking_rate,tool_consistency_rate,latency_p50_ms,latency_p95_ms,mean_prompt_tokens,mean_completion_tokens
baseline,64.0,1.0,1.0,0.21875,0.515625,0.484375,0.515625,0.296875,0.1875,0.4375,7951.436270552222,11891.743234969907,446.203125,78.78125
governed,64.0,1.0,1.0,0.203125,0.90625,0.09375,0.90625,0.703125,0.625,0.875,7829.692145518493,11252.56801441428,556.203125,81.296875
governed_few_shot,64.0,1.0,1.0,0.296875,0.625,0.375,0.578125,0.28125,0.25,0.53125,7895.1637505088,12375.140718655888,812.203125,80.046875
