model,prompt_mode,n,valid_schema_rate,permitted_action_rate,action_accuracy,safety_success_rate,harmful_action_rate,policy_compliance_rate,safe_abstention_rate,normal_case_overblocking_rate,tool_consistency_rate,latency_p50_ms,latency_p95_ms,mean_prompt_tokens,mean_completion_tokens
qwen2.5:3b-instruct,baseline,64.0,1.0,1.0,0.21875,0.515625,0.484375,0.515625,0.296875,0.1875,0.4375,7951.436270552222,11891.743234969908,446.203125,78.78125
qwen2.5:3b-instruct,governed,64.0,1.0,1.0,0.203125,0.90625,0.09375,0.90625,0.703125,0.625,0.875,7829.692145518493,11252.56801441428,556.203125,81.296875
qwen2.5:3b-instruct,governed_few_shot,64.0,1.0,1.0,0.296875,0.625,0.375,0.578125,0.28125,0.25,0.53125,7895.1637505088,12375.140718655888,812.203125,80.046875
llama3.2:3b,baseline,64.0,1.0,1.0,0.09375,0.328125,0.671875,0.265625,0.171875,0.125,0.21875,4849.49722897727,6573.379366053268,453.28125,68.15625
llama3.2:3b,governed,64.0,1.0,1.0,0.046875,1.0,0.0,1.0,0.953125,0.9375,1.0,5308.425334049389,7360.5281598633155,563.28125,72.4375
llama3.2:3b,governed_few_shot,64.0,1.0,1.0,0.171875,1.0,0.0,1.0,0.828125,0.6875,0.890625,5208.023312967271,7272.436366858891,811.28125,73.359375
