prompt_mode,n_scenarios,observed_harm_rate,mean_simulator_risk,auroc,auroc_ci_low,auroc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,prevalence_baseline,brier_score,brier_ci_low,brier_ci_high,calibration_gap_mean_risk_minus_harm
baseline,64,0.484375,0.592421875,0.5728250244379276,0.4325067990558292,0.7099750719572367,0.5187656423597848,0.3773767135157424,0.7073742179967454,0.484375,0.281912359375,0.223422330078125,0.34418106914062496,0.10804687499999999
governed,64,0.09375,0.592421875,0.6479885057471264,0.44472314260226836,0.8418548387096774,0.13716235032024504,0.0592012105649303,0.3225900601177694,0.09375,0.366099859375,0.298791141015625,0.43514170703125,0.498671875
governed_few_shot,64,0.375,0.592421875,0.6562499999999999,0.5091738342067289,0.7871160260070598,0.4885463381918701,0.32536090821068775,0.6993135915608365,0.375,0.27200610937499997,0.214383452734375,0.33677466679687496,0.217421875
