configuration,removed_features,accuracy,precision,recall,safety_recall,f1,auroc,pr_auc,brier,ece,over_blocking_rate,threshold,rows,positive_rate,f1_delta_vs_full,recall_delta_vs_full
Full input,none,0.70556640625,0.6926605504587156,0.6432374866879659,0.6432374866879659,0.6670347874102706,0.7783173012749783,0.7708362153490783,0.1921523904827278,0.0582116595729014,0.2416591523895401,0.52,2048,0.45849609375,0.0,0.0
No policy signal,"human_review_required,policy_count,policy_integrity,policy_text",0.705078125,0.6918671248568156,0.6432374866879659,0.6432374866879659,0.6666666666666666,0.7782078281002276,0.7707035756256344,0.1922051118414577,0.0578797963303944,0.2425608656447249,0.52,2048,0.45849609375,-0.0003681207436039,0.0
No tool contract,"approval_tool_count,critical_tool_count,high_risk_tool_count,irreversible_tool_count,tool_contract_integrity,tool_count,write_tool_count",0.705078125,0.6918671248568156,0.6432374866879659,0.6432374866879659,0.6666666666666666,0.7783749187353735,0.7708809394155192,0.1921303632061371,0.0590052910975076,0.2425608656447249,0.52,2048,0.45849609375,-0.0003681207436039,0.0
No graph,"agent_count,delegation_depth,graph_density,graph_edges,graph_nodes",0.70556640625,0.6926605504587156,0.6432374866879659,0.6432374866879659,0.6670347874102706,0.7783499511692025,0.7708892256867301,0.1921347489137708,0.0581886984431444,0.2416591523895401,0.52,2048,0.45849609375,0.0,0.0
No handoff context,"approved,authorized,confirmed,context_integrity,eligibility_only,has_business_reason,has_expiration,identity_verified",0.70947265625,0.6954545454545454,0.6517571884984026,0.6517571884984026,0.6728971962616822,0.7803243094787444,0.7740766821076933,0.1912202574968734,0.0608557022742063,0.2416591523895401,0.52,2048,0.45849609375,0.0058624088514116,0.0085197018104367
No text,"policy_text,user_text",0.716796875,0.6848609680741503,0.7082002129925452,0.7082002129925452,0.6963350785340314,0.7906882501673307,0.773313628702131,0.1860146172168355,0.0449908378699729,0.2759242560865644,0.5,2048,0.45849609375,0.0293002911237608,0.0649627263045793
