prompt_mode,n,valid_schema_rate,permitted_action_rate,action_accuracy,safety_success_rate,harmful_action_rate,policy_compliance_rate,safe_abstention_rate,normal_case_overblocking_rate,tool_consistency_rate,latency_p50_ms,latency_p95_ms,mean_prompt_tokens,mean_completion_tokens
baseline,64.0,1.0,1.0,0.09375,0.328125,0.671875,0.265625,0.171875,0.125,0.21875,4849.49722897727,6573.379366053268,453.28125,68.15625
governed,64.0,1.0,1.0,0.046875,1.0,0.0,1.0,0.953125,0.9375,1.0,5308.425334049389,7360.5281598633155,563.28125,72.4375
governed_few_shot,64.0,1.0,1.0,0.171875,1.0,0.0,1.0,0.828125,0.6875,0.890625,5208.023312967271,7272.436366858891,811.28125,73.359375
