scenario,architecture,nominal_reviewers,effective_reviewers,mean_reviewer_utilization,p95_reviewer_utilization,mean_p95_review_wait_minutes,p95_review_wait_minutes,mean_reviews_completed_after_day,capacity_guardrails_passed,current_nominal_reviewers,recommended_nominal_reviewers,is_recommended,capacity_status
normal_day,solo_generalist,1,1,1.3398965277777777,1.4314828124999996,175.63124166666663,202.24149999999983,25.5,False,1,3,False,ready
normal_day,solo_generalist,2,2,0.6699482638888888,0.7157414062499998,11.42049999999997,16.406624999999963,3.0,False,1,3,False,ready
normal_day,solo_generalist,3,3,0.4466321759259259,0.4771609374999999,2.7431416666666593,4.515174999999985,3.0,True,1,3,True,ready
normal_day,solo_generalist,4,4,0.3349741319444444,0.3578707031249999,0.1458333333333261,0.5037499999999712,3.0,True,1,3,False,ready
normal_day,solo_generalist,5,5,0.26797930555555555,0.2862965624999999,0.0,0.0,3.0,True,1,3,False,ready
normal_day,solo_generalist,6,6,0.22331608796296296,0.23858046874999994,0.0,0.0,3.0,True,1,3,False,ready
normal_day,solo_generalist,7,7,0.19141378968253966,0.2044975446428571,0.0,0.0,3.0,True,1,3,False,ready
normal_day,solo_generalist,8,8,0.1674870659722222,0.17893535156249996,0.0,0.0,3.0,True,1,3,False,ready
normal_day,solo_generalist,9,9,0.1488773919753086,0.1590536458333333,0.0,0.0,3.0,True,1,3,False,ready
normal_day,solo_generalist,10,10,0.13398965277777777,0.14314828124999995,0.0,0.0,3.0,True,1,3,False,ready
normal_day,solo_generalist,11,11,0.12180877525252524,0.1301348011363636,0.0,0.0,3.0,True,1,3,False,ready
normal_day,solo_generalist,12,12,0.11165804398148148,0.11929023437499997,0.0,0.0,3.0,True,1,3,False,ready
normal_day,specialist_mesh,1,1,1.3398965277777777,1.4314828124999996,175.50302499999998,202.40989999999982,25.5,False,1,3,False,ready
normal_day,specialist_mesh,2,2,0.6699482638888888,0.7157414062499998,11.390566666666658,16.5178875,3.3333333333333335,False,1,3,False,ready
normal_day,specialist_mesh,3,3,0.4466321759259259,0.4771609374999999,2.6147416666666543,4.332199999999974,3.1666666666666665,True,1,3,True,ready
normal_day,specialist_mesh,4,4,0.3349741319444444,0.3578707031249999,0.28741666666666205,0.874374999999985,3.1666666666666665,True,1,3,False,ready
normal_day,specialist_mesh,5,5,0.26797930555555555,0.2862965624999999,0.0010666666666679476,0.004800000000005764,3.1666666666666665,True,1,3,False,ready
normal_day,specialist_mesh,6,6,0.22331608796296296,0.23858046874999994,0.0,0.0,3.1666666666666665,True,1,3,False,ready
normal_day,specialist_mesh,7,7,0.19141378968253966,0.2044975446428571,0.0,0.0,3.1666666666666665,True,1,3,False,ready
normal_day,specialist_mesh,8,8,0.1674870659722222,0.17893535156249996,0.0,0.0,3.1666666666666665,True,1,3,False,ready
normal_day,specialist_mesh,9,9,0.1488773919753086,0.1590536458333333,0.0,0.0,3.1666666666666665,True,1,3,False,ready
normal_day,specialist_mesh,10,10,0.13398965277777777,0.14314828124999995,0.0,0.0,3.1666666666666665,True,1,3,False,ready
normal_day,specialist_mesh,11,11,0.12180877525252524,0.1301348011363636,0.0,0.0,3.1666666666666665,True,1,3,False,ready
normal_day,specialist_mesh,12,12,0.11165804398148148,0.11929023437499997,0.0,0.0,3.1666666666666665,True,1,3,False,ready
normal_day,manager_mesh,1,1,1.673733333333333,1.7494911458333333,315.00248333333326,349.4862499999997,50.0,False,2,3,False,ready
normal_day,manager_mesh,2,2,0.8368666666666665,0.8747455729166667,20.54099166666667,28.631312500000003,4.5,False,2,3,False,ready
normal_day,manager_mesh,3,3,0.5579111111111111,0.5831637152777778,3.7575499999999953,5.931999999999978,3.6666666666666665,True,2,3,True,ready
normal_day,manager_mesh,4,4,0.41843333333333327,0.43737278645833333,0.4303749999999971,1.07448749999999,3.6666666666666665,True,2,3,False,ready
normal_day,manager_mesh,5,5,0.3347466666666666,0.3498982291666667,0.0,0.0,3.6666666666666665,True,2,3,False,ready
normal_day,manager_mesh,6,6,0.27895555555555557,0.2915818576388889,0.0,0.0,3.6666666666666665,True,2,3,False,ready
normal_day,manager_mesh,7,7,0.2391047619047619,0.24992730654761908,0.0,0.0,3.6666666666666665,True,2,3,False,ready
normal_day,manager_mesh,8,8,0.20921666666666663,0.21868639322916666,0.0,0.0,3.6666666666666665,True,2,3,False,ready
normal_day,manager_mesh,9,9,0.18597037037037034,0.1943879050925926,0.0,0.0,3.6666666666666665,True,2,3,False,ready
normal_day,manager_mesh,10,10,0.1673733333333333,0.17494911458333334,0.0,0.0,3.6666666666666665,True,2,3,False,ready
normal_day,manager_mesh,11,11,0.1521575757575757,0.15904464962121212,0.0,0.0,3.6666666666666665,True,2,3,False,ready
normal_day,manager_mesh,12,12,0.13947777777777778,0.14579092881944444,0.0,0.0,3.6666666666666665,True,2,3,False,ready
normal_day,tiered_hybrid,1,1,1.5449802083333335,1.614911979166667,258.3525916666667,290.27892499999984,44.333333333333336,False,2,3,False,ready
normal_day,tiered_hybrid,2,2,0.7724901041666667,0.8074559895833335,15.78127499999996,21.482912499999998,3.8333333333333335,False,2,3,False,ready
normal_day,tiered_hybrid,3,3,0.5149934027777777,0.5383039930555557,3.6749999999999954,5.5311499999999905,3.5,True,2,3,True,ready
normal_day,tiered_hybrid,4,4,0.3862450520833334,0.40372799479166677,0.41429999999999945,1.2436499999999908,3.5,True,2,3,False,ready
normal_day,tiered_hybrid,5,5,0.30899604166666667,0.32298239583333344,0.0,0.0,3.5,True,2,3,False,ready
normal_day,tiered_hybrid,6,6,0.25749670138888886,0.2691519965277778,0.0,0.0,3.5,True,2,3,False,ready
normal_day,tiered_hybrid,7,7,0.22071145833333336,0.23070171130952388,0.0,0.0,3.5,True,2,3,False,ready
normal_day,tiered_hybrid,8,8,0.1931225260416667,0.20186399739583338,0.0,0.0,3.5,True,2,3,False,ready
normal_day,tiered_hybrid,9,9,0.1716644675925926,0.1794346643518519,0.0,0.0,3.5,True,2,3,False,ready
normal_day,tiered_hybrid,10,10,0.15449802083333333,0.16149119791666672,0.0,0.0,3.5,True,2,3,False,ready
normal_day,tiered_hybrid,11,11,0.14045274621212123,0.14681017992424245,0.0,0.0,3.5,True,2,3,False,ready
normal_day,tiered_hybrid,12,12,0.12874835069444443,0.1345759982638889,0.0,0.0,3.5,True,2,3,False,ready
normal_day,governed_hybrid,1,1,1.5449802083333335,1.614911979166667,258.34705833333334,290.29606249999983,44.5,False,2,3,False,ready
normal_day,governed_hybrid,2,2,0.7724901041666667,0.8074559895833335,15.807991666666645,21.551637499999952,4.0,False,2,3,False,ready
normal_day,governed_hybrid,3,3,0.5149934027777777,0.5383039930555557,3.544541666666676,5.2120125000000375,3.5,True,2,3,True,ready
normal_day,governed_hybrid,4,4,0.3862450520833334,0.40372799479166677,0.36484999999999573,1.1351499999999934,3.5,True,2,3,False,ready
normal_day,governed_hybrid,5,5,0.30899604166666667,0.32298239583333344,0.0,0.0,3.5,True,2,3,False,ready
normal_day,governed_hybrid,6,6,0.25749670138888886,0.2691519965277778,0.0,0.0,3.5,True,2,3,False,ready
normal_day,governed_hybrid,7,7,0.22071145833333336,0.23070171130952388,0.0,0.0,3.5,True,2,3,False,ready
normal_day,governed_hybrid,8,8,0.1931225260416667,0.20186399739583338,0.0,0.0,3.5,True,2,3,False,ready
normal_day,governed_hybrid,9,9,0.1716644675925926,0.1794346643518519,0.0,0.0,3.5,True,2,3,False,ready
normal_day,governed_hybrid,10,10,0.15449802083333333,0.16149119791666672,0.0,0.0,3.5,True,2,3,False,ready
normal_day,governed_hybrid,11,11,0.14045274621212123,0.14681017992424245,0.0,0.0,3.5,True,2,3,False,ready
normal_day,governed_hybrid,12,12,0.12874835069444443,0.1345759982638889,0.0,0.0,3.5,True,2,3,False,ready
black_friday,solo_generalist,1,1,4.790015972222222,5.183742708333334,1543.4768416666668,1660.1112250000006,198.5,False,1,7,False,ready
black_friday,solo_generalist,2,2,2.395007986111111,2.591871354166667,457.0498916666667,488.1512375000001,148.33333333333334,False,1,7,False,ready
black_friday,solo_generalist,3,3,1.5966719907407407,1.7279142361111115,101.55851666666665,117.24300000000002,99.66666666666667,False,1,7,False,ready
black_friday,solo_generalist,4,4,1.1975039930555555,1.2959356770833335,8.547708333333304,14.438550000000005,75.66666666666667,False,1,7,False,ready
black_friday,solo_generalist,5,5,0.9580031944444446,1.0367485416666669,1.8279333333333359,2.4211499999999653,74.83333333333333,False,1,7,False,ready
black_friday,solo_generalist,6,6,0.7983359953703704,0.8639571180555558,0.0306333333333343,0.13785000000000436,74.83333333333333,False,1,7,False,ready
black_friday,solo_generalist,7,7,0.684287996031746,0.7405346726190477,0.0,0.0,74.83333333333333,True,1,7,True,ready
black_friday,solo_generalist,8,8,0.5987519965277778,0.6479678385416667,0.0,0.0,74.83333333333333,True,1,7,False,ready
black_friday,solo_generalist,9,9,0.5322239969135804,0.5759714120370372,0.0,0.0,74.83333333333333,True,1,7,False,ready
black_friday,solo_generalist,10,10,0.4790015972222223,0.5183742708333334,0.0,0.0,74.83333333333333,True,1,7,False,ready
black_friday,solo_generalist,11,11,0.43545599747474756,0.4712493371212122,0.0,0.0,74.83333333333333,True,1,7,False,ready
black_friday,solo_generalist,12,12,0.3991679976851852,0.4319785590277779,0.0,0.0,74.83333333333333,True,1,7,False,ready
black_friday,specialist_mesh,1,1,4.790015972222222,5.183742708333334,1582.505666666667,1701.7748250000004,198.5,False,1,7,False,ready
black_friday,specialist_mesh,2,2,2.395007986111111,2.591871354166667,495.53635000000014,529.1875500000002,148.5,False,1,7,False,ready
black_friday,specialist_mesh,3,3,1.5966719907407407,1.7279142361111115,136.45370000000005,152.59389999999993,99.66666666666667,False,1,7,False,ready
black_friday,specialist_mesh,4,4,1.1975039930555555,1.2959356770833335,12.999474999999984,20.48264999999997,64.5,False,1,7,False,ready
black_friday,specialist_mesh,5,5,0.9580031944444446,1.0367485416666669,2.8285249999999995,3.676000000000002,63.5,False,1,7,False,ready
black_friday,specialist_mesh,6,6,0.7983359953703704,0.8639571180555558,0.16629999999999376,0.6830499999999986,63.5,False,1,7,False,ready
black_friday,specialist_mesh,7,7,0.684287996031746,0.7405346726190477,0.0,0.0,63.5,True,1,7,True,ready
black_friday,specialist_mesh,8,8,0.5987519965277778,0.6479678385416667,0.0,0.0,63.5,True,1,7,False,ready
black_friday,specialist_mesh,9,9,0.5322239969135804,0.5759714120370372,0.0,0.0,63.5,True,1,7,False,ready
