architecture,scenario,n_seeds,arrivals,arrivals_low,arrivals_high,safe_completion_rate,safe_completion_rate_low,safe_completion_rate_high,sla_attainment_rate,sla_attainment_rate_low,sla_attainment_rate_high,critical_bypass_rate,critical_bypass_rate_low,critical_bypass_rate_high,unsafe_proposal_rate,unsafe_proposal_rate_low,unsafe_proposal_rate_high,unsafe_proposal_interception_rate,unsafe_proposal_interception_rate_low,unsafe_proposal_interception_rate_high,harmful_execution_rate,harmful_execution_rate_low,harmful_execution_rate_high,normal_overblock_rate,normal_overblock_rate_low,normal_overblock_rate_high,automation_rate,automation_rate_low,automation_rate_high,review_rate,review_rate_low,review_rate_high,p50_cycle_minutes,p50_cycle_minutes_low,p50_cycle_minutes_high,p95_cycle_minutes,p95_cycle_minutes_low,p95_cycle_minutes_high,p95_queue_wait_minutes,p95_queue_wait_minutes_low,p95_queue_wait_minutes_high,agent_utilization,agent_utilization_low,agent_utilization_high,reviewer_utilization,reviewer_utilization_low,reviewer_utilization_high,direct_cost_units,direct_cost_units_low,direct_cost_units_high,cost_per_safe_completion,cost_per_safe_completion_low,cost_per_safe_completion_high
governed_hybrid,black_friday,6,448.6666666666667,421.625,488.125,0.5385316613163283,0.5109963286056637,0.5781312853821021,0.1436007042506933,0.07253147388859713,0.1737180693664586,0.005440538404764464,0.0004139072847682119,0.009658055969531381,0.24687536809012123,0.2269096523846433,0.27006504292992084,0.9791139002046467,0.9624801744647106,0.9987864077669903,0.005087123663928672,0.00027533039647577095,0.009754521041053624,0.10130497366164842,0.07235891551929288,0.11353301700276788,0.23034228531295223,0.20187305543474623,0.2523204823475798,0.7696577146870478,0.7476795176524202,0.7981269445652538,320.92024999999995,291.27531250000004,336.783375,828.8814333333331,786.40215625,923.7999249999999,815.5867666666667,771.9108187500001,910.14385,0.9527213808666625,0.8894893974157811,1.0382084833602354,2.828254539153202,2.7217964794922542,3.040132719108307,266.5633166666667,255.82532500000002,287.10762500000004,1.106076694223708,1.0178175742743703,1.1737793923520692
manager_mesh,black_friday,6,448.6666666666667,421.625,488.125,0.5398793197374406,0.5210891916763429,0.5582330251701102,0.022464672002983594,0.014948282356880513,0.031918692683484275,0.1529074608142533,0.12487875443173456,0.1773532090431801,0.30888055751007487,0.2906060154542698,0.3243557067351472,0.5624749044764098,0.501258484162896,0.6001259769642122,0.13536094596604323,0.11991996029037662,0.16115702977070917,0.07692320599515136,0.052202851436342006,0.09439635558864896,0.23034228531295223,0.20187305543474623,0.2523204823475798,0.7696577146870478,0.7476795176524202,0.7981269445652538,362.12149999999997,330.1301875,379.5105,936.0820416666667,890.3738125,1038.2712,920.743125,873.7030625,1022.5779249999999,1.5015717415833276,1.4019126372313946,1.636306848774285,3.0639424174159693,2.948612852783276,3.2934771123673334,298.1242833333334,286.00595000000004,321.1895875,1.2323997165034721,1.1845512167366945,1.3027424189936774
solo_generalist,black_friday,6,448.6666666666667,421.625,488.125,0.3616238806318674,0.3290930509315693,0.41611212798080705,0.030262922906776204,0.024360535243972407,0.035351718519380626,0.6384672642902774,0.5770328954510912,0.6800458715596329,0.563318110735447,0.5194767128126134,0.5963500747554972,0.0,0.0,0.0,0.563318110735447,0.5194767128126134,0.5963500747554972,0.031233281780323308,0.01896041435442101,0.05560908381305493,0.4438384802136975,0.42007976202424363,0.46206327325530056,0.5561615197863025,0.5379367267446995,0.5799202379757564,215.92891666666665,183.77499999999998,265.24125,1654.701283333333,1559.1311249999997,1840.4936749999997,1641.2182166666664,1544.9520624999998,1827.0244999999998,1.3747263626825548,1.283613359478237,1.4963274911532447,4.790013368145825,4.587864653283056,5.24055472190188,210.85645,201.99808749999997,230.487875,1.3100844922362092,1.1177344195015824,1.4566217592592592
specialist_mesh,black_friday,6,448.6666666666667,421.625,488.125,0.5093585077125337,0.4590267305218426,0.5600000517052388,0.05061504357817104,0.03191225034672497,0.06155470853678536,0.4404132350303855,0.4001411355987406,0.5019764876923848,0.40895916747912753,0.37798597753924423,0.46559968738282503,0.044115985708408696,0.034732785721529255,0.06590128755364807,0.39089117570995674,0.363079849494226,0.44384918931861206,0.044235324390750654,0.02321670249183982,0.06669064840628493,0.4438384802136975,0.42007976202424363,0.46206327325530056,0.5561615197863025,0.5379367267446995,0.5799202379757564,201.1939166666667,150.32162499999998,261.810375,1655.7213249999998,1560.1748749999997,1841.4663249999999,1641.1321333333333,1544.8820812499998,1826.8808249999997,1.2888059650148944,1.2033875245108479,1.4028070229561656,4.790013368145825,4.587864653283056,5.24055472190188,224.31645,214.86433749999998,245.112875,0.9866490371542914,0.8825279989503028,1.0989240036231884
tiered_hybrid,black_friday,6,448.6666666666667,421.625,488.125,0.5605386136153462,0.53944368324437,0.5809375555485847,0.16037817672580798,0.13406394993086104,0.1759465478841871,0.09726777943780797,0.08234222650808957,0.11958519622454049,0.286989185138211,0.25951972040109994,0.3043931089938581,0.6958721495419812,0.6199051053995378,0.7672850770478508,0.08658577345927691,0.07071269487750556,0.09905301855183966,0.0763298427551488,0.053220187446047604,0.09369580019784936,0.23034228531295223,0.20187305543474623,0.2523204823475798,0.7696577146870478,0.7476795176524202,0.7981269445652538,320.5985,290.9625,336.44925,828.5637666666667,786.08815625,923.497,815.6276833333333,771.9127625000001,910.2251249999999,0.8905873777666627,0.8314792193234475,0.9704992344454378,2.828254539153202,2.7217964794922542,3.040132719108307,262.07665,251.571575,282.232625,1.0435302549846694,1.0109267818221443,1.1061408472471492
governed_hybrid,model_migration,6,151.66666666666666,139.0,159.625,0.6574370191933666,0.5915327537759045,0.7112283319124751,0.6289183681489604,0.5351905514576747,0.6944799658994032,0.007691570082987845,0.0,0.017534385469934754,0.10903385204718484,0.06297953964194374,0.13966455918510712,0.9429652562779497,0.8839009287925697,1.0,0.006537238558764887,0.0,0.013578658057761102,0.06852714606474006,0.04838043900543901,0.10027472527472528,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,12.661166666666666,11.57125,14.029312500000001,25.88128333333333,19.907437500000004,31.05176875,14.888341666666667,8.769662500000004,20.4798625,0.31515227394506035,0.29029347889408735,0.32996247477005564,0.772491918494942,0.7156854032656205,0.810630595013698,76.01063333333333,70.38435,79.8013625,0.7671280884375182,0.7005837605220846,0.8785979865361077
manager_mesh,model_migration,6,151.66666666666666,139.0,159.625,0.6915941638954323,0.6051216192483315,0.773852657004831,0.6209812191713445,0.5275948366701791,0.7167696788860471,0.051322993192256416,0.032218734910671176,0.08980322387035926,0.13273851050159635,0.10184001136686559,0.17425140498770636,0.6174577234359843,0.5096153846153846,0.7065217391304348,0.05141999634538102,0.030264279624893437,0.07388644097373702,0.04439042925885031,0.010212010212010212,0.09769917582417582,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,16.271666666666665,13.9359375,19.5285,32.893125,23.653425000000002,41.634774999999976,20.20515,11.115962500000006,29.600056249999984,0.4967073882829755,0.4575277656482899,0.5200495526267181,0.8368662450361873,0.7753258535377556,0.8781831445981721,85.5046,79.16319999999999,89.77519999999998,0.8234524034591248,0.7246167904054825,0.9648493395618557
solo_generalist,model_migration,6,151.66666666666666,139.0,159.625,0.21366394709529946,0.1542852125043906,0.27062952898550724,0.13658647132641058,0.09353595890410958,0.17178175618073316,0.806489765245217,0.7594881699661999,0.8344765497727857,0.7239916256367752,0.689073822463768,0.7625021952932911,0.0,0.0,0.0,0.7239916256367752,0.689073822463768,0.7625021952932911,0.016553048038010446,0.0010964912280701754,0.030120920745920748,0.42791232335961377,0.3944746376811594,0.46715894425710836,0.5720876766403863,0.5328410557428916,0.6055253623188406,26.989666666666665,12.847125,48.935875,182.63206666666665,155.60071250000001,212.79375,170.46987499999997,141.9611875,199.73444375,0.45162788360288936,0.4165628119105757,0.4802483194312593,1.3398951111315158,1.2795673976328399,1.4404082929295512,60.55213333333333,57.973637499999995,64.88176250000001,1.9391447544998863,1.548118092105263,2.6013535308441558
specialist_mesh,model_migration,6,151.66666666666666,139.0,159.625,0.5992062333622522,0.514005971197752,0.6613588110403397,0.334813931071017,0.2741010273972603,0.38936582664081976,0.302592762549254,0.20470456802383316,0.3355321912803443,0.2914857914552085,0.2236568817502077,0.353310502283105,0.028197496947496948,0.002403846153846154,0.056433150183150184,0.2828849772027309,0.22206452506230961,0.34491350544432736,0.03153721104848924,0.011242229992229994,0.04974489795918367,0.42791232335961377,0.3944746376811594,0.46715894425710836,0.5720876766403863,0.5328410557428916,0.6055253623188406,28.001666666666665,13.7335,49.78306249999999,183.6015833333333,156.40846875000003,213.97186875,170.38288333333333,141.57075625,199.75033125,0.42340114087770875,0.3905276361661647,0.45023279946680583,1.3398951111315158,1.2795673976328399,1.4404082929295512,65.10213333333334,62.143637500000004,69.6667625,0.7222865695199951,0.6485434588509318,0.8376196598587224
tiered_hybrid,model_migration,6,151.66666666666666,139.0,159.625,0.6745198748086313,0.5986894099051633,0.7640085758294826,0.6472295626049016,0.5703481735159818,0.7361999147485081,0.04520570213877643,0.019949800934741215,0.06527051358998542,0.12840053055238151,0.09516638973506877,0.1750526870389884,0.6964353048911872,0.5636160714285714,0.8685661764705882,0.038383990415330964,0.01927790346907994,0.06096960616438356,0.0749211975715735,0.016491445062873634,0.11724882260596546,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,12.329666666666666,11.2501875,13.7363125,25.56313333333333,19.533143750000004,30.77161875,14.850683333333334,8.710212500000004,20.424325,0.29459886477473035,0.2713612954879511,0.30844318293722606,0.772491918494942,0.7156854032656205,0.810630595013698,74.49396666666668,68.9856,78.2063625,0.7347470776501425,0.6363715628783293,0.8300014157706095
governed_hybrid,normal_day,6,151.66666666666666,139.0,159.625,0.7007094134298869,0.6536275875796178,0.7394077098700386,0.6667251789893548,0.599562101910828,0.7216764214046822,0.006036536893896109,0.0,0.016654949962782235,0.09581219366141451,0.06733918999404408,0.13667396496815287,0.9518259518259518,0.844551282051282,1.0,0.004413052216472511,0.0,0.012787583421145065,0.11267970055564042,0.08464972527472527,0.1302051123479695,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,12.418416666666667,11.336,13.8156875,25.648916666666665,19.63385625,30.8468375,14.860791666666664,8.726437500000005,20.438756249999997,0.3001450228048195,0.2764699798991308,0.3142499759714818,0.772491918494942,0.7156854032656205,0.810630595013698,76.01063333333333,70.38435,79.8013625,0.7166029328574934,0.6795931702898551,0.7461939501259219
manager_mesh,normal_day,6,151.66666666666666,139.0,159.625,0.7630771667027711,0.7250895700636942,0.7756061872909699,0.681574152766535,0.5820718087426926,0.7563057413600892,0.06518765782543379,0.04273833167825224,0.09764854668610135,0.12007442626017802,0.09549943165672066,0.1620919585987261,0.5704314068284656,0.465034965034965,0.6502403846153846,0.05130596470994219,0.03974850809889173,0.0727906050955414,0.061778290631674095,0.03199760765550239,0.09769917582417582,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,15.956999999999999,13.60725,19.1928125,32.563733333333325,23.301637500000002,41.29888124999998,20.167916666666667,11.072337500000005,29.520331249999984,0.4730546555075958,0.4357407291888474,0.4952852882159222,0.8368662450361873,0.7753258535377556,0.8781831445981721,85.5046,79.16319999999999,89.77519999999998,0.7394659215966005,0.7230034642456926,0.7599922566371682
solo_generalist,normal_day,6,151.66666666666666,139.0,159.625,0.5602484196396379,0.5123337303950765,0.5861778846153847,0.32529519567095333,0.28504302536231885,0.35148722031683816,0.4218760511753082,0.36508111444189734,0.47899394503959014,0.3608293778080644,0.3281352124183007,0.4258114949374628,0.0,0.0,0.0,0.3608293778080644,0.3281352124183007,0.4258114949374628,0.011329261799186611,0.0,0.02040816326530612,0.42791232335961377,0.3944746376811594,0.46715894425710836,0.5720876766403863,0.5328410557428916,0.6055253623188406,26.79675,12.67825,48.7744375,182.44860833333334,155.44661875,212.56962499999997,170.48412499999995,142.03286250000002,199.73146875,0.4301217939075137,0.3967264875338817,0.4573793518392948,1.3398951111315158,1.2795673976328399,1.4404082929295512,60.55213333333333,57.973637499999995,64.88176250000001,0.715715549218383,0.6550890277777779,0.815155625
specialist_mesh,normal_day,6,151.66666666666666,139.0,159.625,0.6788479729579079,0.6589362157534246,0.6973654662747019,0.3733053692783339,0.3191891339869281,0.41494524910566266,0.281008031148232,0.24751737835153922,0.3084008766851377,0.2586190339593791,0.2385778029160382,0.2815182774854611,0.03394195380791195,0.0029069767441860465,0.0751765083440308,0.24993005010759609,0.2290095525389643,0.2743815194313671,0.03948874155641074,0.01397907647907648,0.05597527472527473,0.42791232335961377,0.3944746376811594,0.46715894425710836,0.5720876766403863,0.5328410557428916,0.6055253623188406,27.760749999999998,13.522499999999999,49.58143750000001,183.36603333333332,156.216125,213.691375,170.39953333333332,141.6643,199.746425,0.4032391817882941,0.3719310820630142,0.42879314234933885,1.3398951111315158,1.2795673976328399,1.4404082929295512,65.10213333333334,62.143637500000004,69.6667625,0.6333088472329949,0.5887729740061164,0.6656477200783841
