seed,architecture,scenario,arrivals,safe_completions,safe_completion_rate,sla_attainment_rate,critical_bypass_rate,unsafe_proposal_rate,unsafe_proposal_interception_rate,harmful_execution_rate,normal_overblock_rate,automation_rate,review_rate,p50_cycle_minutes,p95_cycle_minutes,p95_queue_wait_minutes,agent_utilization,reviewer_utilization,direct_cost_units,cost_per_safe_completion
20260828,solo_generalist,normal_day,146,80,0.547945205479452,0.3356164383561644,0.4424778761061947,0.363013698630137,0.0,0.363013698630137,0.02040816326530612,0.4315068493150685,0.5684931506849316,24.917,170.29025000000001,160.15175,0.4084704153972782,1.2930969750655328,58.4156,0.7301949999999999
20260828,specialist_mesh,normal_day,146,96,0.6575342465753424,0.4178082191780822,0.30973451327433627,0.2534246575342466,0.0,0.2534246575342466,0.04081632653061224,0.4315068493150685,0.5684931506849316,26.004,171.37725,160.3865,0.3829410144349481,1.2930969750655328,62.7956,0.6541208333333334
20260828,manager_mesh,normal_day,146,113,0.773972602739726,0.6438356164383562,0.061946902654867256,0.1095890410958904,0.5625,0.04794520547945205,0.061224489795918366,0.1643835616438356,0.8356164383561644,18.4495,37.56425,24.21525,0.45826987601079,0.8497940431715676,85.7043,0.7584451327433629
20260828,tiered_hybrid,normal_day,146,115,0.7876712328767124,0.7123287671232876,0.017699115044247787,0.1095890410958904,0.875,0.0136986301369863,0.030612244897959183,0.1643835616438356,0.8356164383561644,13.627500000000001,30.61725,19.139,0.2718014437029515,0.784425270619909,74.84380000000002,0.6508156521739131
20260828,governed_hybrid,normal_day,146,108,0.7397260273972602,0.6575342465753424,0.017699115044247787,0.0821917808219178,0.8333333333333334,0.0136986301369863,0.08163265306122448,0.1643835616438356,0.8356164383561644,13.9165,30.8765,19.16025,0.2907643351240876,0.784425270619909,76.3038,0.7065166666666666
20260829,solo_generalist,normal_day,156,90,0.5769230769230769,0.3525641025641026,0.42201834862385323,0.3525641025641026,0.0,0.3525641025641026,0.009615384615384616,0.4166666666666667,0.5833333333333334,29.825,214.84725,201.62400000000002,0.44364086172892875,1.377941658291248,62.273300000000006,0.6919255555555556
20260829,specialist_mesh,normal_day,156,109,0.6987179487179487,0.3717948717948718,0.27522935779816515,0.23717948717948717,0.02702702702702703,0.23076923076923078,0.057692307692307696,0.4166666666666667,0.5833333333333334,31.0835,216.02325000000002,201.6995,0.41591330787087066,1.377941658291248,66.95330000000001,0.6142504587155965
20260829,manager_mesh,normal_day,156,121,0.7756410256410257,0.7243589743589743,0.06422018348623854,0.10897435897435898,0.5882352941176471,0.04487179487179487,0.0673076923076923,0.22435897435897437,0.7756410256410257,15.532499999999999,31.2765,18.98675,0.48285398528098816,0.8541234776412528,87.4365,0.7226157024793388
20260829,tiered_hybrid,normal_day,156,123,0.7884615384615384,0.7756410256410257,0.05504587155963303,0.10897435897435898,0.6470588235294118,0.038461538461538464,0.04807692307692308,0.22435897435897437,0.7756410256410257,12.030000000000001,22.96775,13.4245,0.28638236368389647,0.788421671668848,76.15090000000001,0.6191130081300814
20260829,governed_hybrid,normal_day,156,115,0.7371794871794872,0.7243589743589743,0.009174311926605505,0.08333333333333333,0.9230769230769231,0.00641025641025641,0.10576923076923077,0.22435897435897437,0.7756410256410257,12.3875,23.2515,13.38725,0.3063625285920752,0.788421671668848,77.71090000000001,0.6757469565217392
