portfolio,controls,control_count,cost,runs,incident_rate,task_success_rate,safety_success_rate,cascading_failure_rate,policy_violation_rate,human_review_load,review_saturation_rate,rollback_coverage,mean_blast_radius,risk_reduction,worst_workflow_incident_rate,feasible_default,pareto_efficient
none,,0,0.0,1400.0,0.6221428571428571,0.9014285714285715,0.37785714285714284,0.18214285714285713,0.5378571428571428,0.2764285714285714,0.04285714285714286,0.029850746268656716,58.52663605051666,0.0,0.7714285714285715,True,True
context_envelope,context_envelope,1,12.0,1400.0,0.485,0.8878571428571429,0.515,0.1407142857142857,0.42,0.2764285714285714,0.04285714285714286,0.033873343151693665,58.850176730486005,0.13714285714285712,0.6028571428571429,True,True
tool_version_lock,tool_version_lock,1,5.0,1400.0,0.5585714285714286,0.8914285714285715,0.44142857142857145,0.16714285714285715,0.48,0.2764285714285714,0.04285714285714286,0.028132992327365727,58.83930946291561,0.0635714285714285,0.6942857142857143,True,True
permission_scope,permission_scope,1,10.0,1400.0,0.5328571428571428,0.8721428571428571,0.46714285714285714,0.16071428571428573,0.4592857142857143,0.2764285714285714,0.04285714285714286,0.029490616621983913,58.09541554959787,0.0892857142857143,0.6857142857142857,True,True
human_review_gate,human_review_gate,1,45.0,1400.0,0.3435714285714286,0.8185714285714286,0.6564285714285715,0.1,0.29428571428571426,0.6921428571428572,0.10642857142857143,0.02702702702702703,58.48449064449066,0.2785714285714285,0.44571428571428573,False,False
rollback_hook,rollback_hook,1,18.0,1400.0,0.5671428571428572,0.8942857142857142,0.4328571428571429,0.16857142857142857,0.48857142857142855,0.2764285714285714,0.04285714285714286,0.41435768261964734,46.07250629722922,0.05499999999999994,0.7028571428571428,True,True
external_isolation,external_isolation,1,14.0,1400.0,0.5235714285714286,0.8835714285714286,0.4764285714285714,0.145,0.45285714285714285,0.2764285714285714,0.04285714285714286,0.03137789904502047,57.55349249658937,0.09857142857142853,0.6571428571428571,True,False
context_envelope+tool_version_lock,"context_envelope,tool_version_lock",2,17.0,1400.0,0.42142857142857143,0.8764285714285714,0.5785714285714286,0.125,0.36214285714285716,0.2764285714285714,0.04285714285714286,0.03220338983050847,59.18562711864408,0.20071428571428568,0.5171428571428571,True,True
context_envelope+permission_scope,"context_envelope,permission_scope",2,22.0,1400.0,0.3992857142857143,0.8635714285714285,0.6007142857142858,0.11857142857142858,0.3442857142857143,0.2764285714285714,0.04285714285714286,0.03398926654740608,58.23872987477638,0.2228571428571428,0.5028571428571429,True,True
context_envelope+human_review_gate,"context_envelope,human_review_gate",2,57.0,1400.0,0.2792857142857143,0.8007142857142857,0.7207142857142858,0.08,0.2392857142857143,0.6921428571428572,0.10642857142857143,0.030690537084398978,58.66820971867008,0.3428571428571428,0.36,False,False
context_envelope+rollback_hook,"context_envelope,rollback_hook",2,30.0,1400.0,0.445,0.8821428571428571,0.555,0.13214285714285715,0.38285714285714284,0.2764285714285714,0.04285714285714286,0.42375601926163725,46.05332263242376,0.1771428571428571,0.5571428571428572,True,True
