model,held_out_workflow,train_workflows,train_tasks,test_tasks,task_overlap,accuracy,precision,recall,safety_recall,f1,auroc,pr_auc,brier,ece,over_blocking_rate,threshold,rows,positive_rate
Logistic Regression,data_export,"email,it_access,refund",102,8,0,0.712890625,0.8480392156862745,0.5986159169550173,0.5986159169550173,0.7018255578093306,0.8037534718450821,0.8496179645915132,0.20014963287010062,0.1378275437975638,0.13901345291479822,0.51,512,0.564453125
Logistic Regression,email,"data_export,it_access,refund",102,8,0,0.728515625,0.3409090909090909,0.4639175257731959,0.4639175257731959,0.3930131004366812,0.7538194013166066,0.3801724594608323,0.16868925063796394,0.17864055152202157,0.20963855421686747,0.52,512,0.189453125
Logistic Regression,it_access,"data_export,email,refund",102,8,0,0.66015625,0.7658730158730159,0.6266233766233766,0.6266233766233766,0.6892857142857143,0.7807486631016043,0.8495417087758665,0.18645784656164854,0.09357019426155368,0.28921568627450983,0.54,512,0.6015625
Logistic Regression,refund,"data_export,email,it_access",102,8,0,0.646484375,0.7424242424242424,0.4,0.4,0.519893899204244,0.7437285026370097,0.6800354358255862,0.22638075691399423,0.13956534276718452,0.12734082397003746,0.48,512,0.478515625
