model,held_out_stressor,train_tasks,test_tasks,task_overlap,accuracy,precision,recall,safety_recall,f1,auroc,pr_auc,brier,ece,over_blocking_rate,threshold,rows,positive_rate
Logistic Regression,memory_poisoning,136,32,0,0.7265625,0.8172043010752689,0.5891472868217055,0.5891472868217055,0.6846846846846847,0.7756515900628701,0.8175953966320969,0.19215662181721122,0.09457963694458761,0.13385826771653545,0.54,256,0.50390625
Logistic Regression,permission_overgrant,136,32,0,0.65234375,0.6410256410256411,0.6147540983606558,0.6147540983606558,0.6276150627615062,0.7293858575972596,0.7439157360880695,0.21108162932431818,0.10863065103897816,0.31343283582089554,0.54,256,0.4765625
