model,model_family,validation_pr_auc,accuracy,precision,recall,safety_recall,f1,auroc,pr_auc,brier,ece,over_blocking_rate,threshold,rows,positive_rate
Logistic Regression,offline_ml,0.7408055374956213,0.716796875,0.6848609680741503,0.7082002129925452,0.7082002129925452,0.6963350785340314,0.7906882501673307,0.773313628702131,0.18601461721683554,0.04499083786997295,0.27592425608656446,0.5,2048,0.45849609375
Logistic + TF-IDF,offline_ml,0.7241243458206554,0.70556640625,0.6926605504587156,0.6432374866879659,0.6432374866879659,0.6670347874102706,0.7783173012749783,0.7708362153490783,0.1921523904827278,0.05821165957290148,0.24165915238954014,0.52,2048,0.45849609375
Random Forest,offline_ml,0.7289876429264948,0.6884765625,0.6637649619151251,0.6496272630457934,0.6496272630457934,0.6566200215285253,0.7681166100575119,0.7579611354155903,0.1938857540774152,0.03462878214086809,0.27862939585211904,0.47,2048,0.45849609375
Rule Based,heuristic,0.7213603256410182,0.685546875,0.6467661691542289,0.6922257720979765,0.6922257720979765,0.668724279835391,0.7748655352518027,0.7501885235194182,0.19760405671875,0.06694570312499996,0.3201082055906222,0.43999999999999995,2048,0.45849609375
Extra Trees,offline_ml,0.7184113679454391,0.6962890625,0.6889153754469607,0.6155484558040468,0.6155484558040468,0.6501687289088864,0.7522986965970166,0.7436614456346753,0.19938509851741404,0.03667823541497963,0.23534715960324618,0.49,2048,0.45849609375
XGBoost,offline_ml,0.7223710440776294,0.68115234375,0.6588888888888889,0.6315228966986155,0.6315228966986155,0.644915715062534,0.7460318374880324,0.7403353234827403,0.20455455780029297,0.053806434429134235,0.2768259693417493,0.44999999999999996,2048,0.45849609375
Histogram Gradient Boosting,offline_ml,0.7251524193908979,0.68408203125,0.6618625277161863,0.6357827476038339,0.6357827476038339,0.6485605649103748,0.7413254512647512,0.7327676744505764,0.2061131746560772,0.06419405113324034,0.2750225428313796,0.45999999999999996,2048,0.45849609375
Logistic Regression + Isotonic,calibrated_offline_ml,0.7039901713523844,0.7197265625,0.7085714285714285,0.6602768903088392,0.6602768903088392,0.6835722160970231,0.770135141753357,0.7194413867146371,0.19282756955468897,0.05308384903816964,0.22993688007213706,0.38,2048,0.45849609375
