configuration,removed_features,accuracy,precision,recall,safety_recall,f1,auroc,pr_auc,brier,ece,over_blocking_rate,threshold,rows,positive_rate,f1_delta_vs_full,recall_delta_vs_full
Full input,none,0.70556640625,0.6926605504587156,0.6432374866879659,0.6432374866879659,0.6670347874102706,0.7783173012749783,0.7708362153490783,0.1921523904827278,0.05821165957290148,0.24165915238954014,0.52,2048,0.45849609375,0.0,0.0
No policy signal,"human_review_required,policy_count,policy_integrity,policy_text",0.705078125,0.6918671248568156,0.6432374866879659,0.6432374866879659,0.6666666666666666,0.7782078281002276,0.7707035756256344,0.19220511184145772,0.05787979633039443,0.24256086564472498,0.52,2048,0.45849609375,-0.000368120743603928,0.0
No tool contract,"approval_tool_count,critical_tool_count,high_risk_tool_count,irreversible_tool_count,tool_contract_integrity,tool_count,write_tool_count",0.705078125,0.6918671248568156,0.6432374866879659,0.6432374866879659,0.6666666666666666,0.7783749187353735,0.7708809394155192,0.19213036320613713,0.05900529109750768,0.24256086564472498,0.52,2048,0.45849609375,-0.000368120743603928,0.0
No graph,"agent_count,delegation_depth,graph_density,graph_edges,graph_nodes",0.70556640625,0.6926605504587156,0.6432374866879659,0.6432374866879659,0.6670347874102706,0.7783499511692025,0.7708892256867301,0.19213474891377086,0.05818869844314442,0.24165915238954014,0.52,2048,0.45849609375,0.0,0.0
No handoff context,"approved,authorized,confirmed,context_integrity,eligibility_only,has_business_reason,has_expiration,identity_verified",0.70947265625,0.6954545454545454,0.6517571884984026,0.6517571884984026,0.6728971962616822,0.7803243094787444,0.7740766821076933,0.19122025749687346,0.06085570227420634,0.24165915238954014,0.52,2048,0.45849609375,0.005862408851411649,0.008519701810436708
No text,"policy_text,user_text",0.716796875,0.6848609680741503,0.7082002129925452,0.7082002129925452,0.6963350785340314,0.7906882501673307,0.773313628702131,0.18601461721683554,0.04499083786997295,0.27592425608656446,0.5,2048,0.45849609375,0.02930029112376087,0.06496272630457933
