task,feature_access,feature_count,uses_simulator_privileged_features,label_shuffle,accuracy,precision,recall,safety_recall,f1,auroc,pr_auc,brier,ece,over_blocking_rate,threshold,rows,positive_rate,pr_auc_optimism_gap
risk_classification,Simulator-informed structured,53,True,False,0.716796875,0.6848609680741503,0.7082002129925452,0.7082002129925452,0.6963350785340314,0.7906882501673307,0.773313628702131,0.18601461738429387,0.04499083764162483,0.27592425608656446,0.5,2048,0.45849609375,0.06445376616690413
risk_classification,Deployable structured,39,False,False,0.65966796875,0.6559278350515464,0.5420660276890309,0.5420660276890309,0.5935860058309038,0.7261331673950473,0.7088598625352269,0.2097646010969989,0.055887824426749805,0.24075743913435527,0.54,2048,0.45849609375,0.06445376616690413
risk_classification,Deployable + text,41,False,False,0.65576171875,0.6341743119266054,0.5889243876464324,0.5889243876464324,0.6107123136388736,0.7080451259949815,0.6847177477865116,0.21699257954190643,0.05407694184222865,0.28764652840396754,0.52,2048,0.45849609375,0.06445376616690413
risk_classification,Label-shuffled negative control,39,False,True,0.51806640625,0.4230769230769231,0.14057507987220447,0.14057507987220447,0.21103117505995203,0.4445988912480038,0.4287621449765306,0.25351088383489295,0.05836540473223308,0.1623083859332732,0.53,2048,0.45849609375,0.06445376616690413
